Date/Time,Temp (C),Temp (F),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
2012-01-01 00:00:00,-1.8,28.759999999999998,-3.9,86,4,8.0,101.24,Fog
2012-01-01 01:00:00,-1.8,28.759999999999998,-3.7,87,4,8.0,101.24,Fog
2012-01-01 02:00:00,-1.8,28.759999999999998,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog"
2012-01-01 03:00:00,-1.5,29.3,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog"
2012-01-01 04:00:00,-1.5,29.3,-3.3,88,7,4.8,101.23,Fog
2012-01-01 05:00:00,-1.4,29.48,-3.3,87,9,6.4,101.27,Fog
2012-01-01 06:00:00,-1.5,29.3,-3.1,89,7,6.4,101.29,Fog
2012-01-01 07:00:00,-1.4,29.48,-3.6,85,7,8.0,101.26,Fog
2012-01-01 08:00:00,-1.4,29.48,-3.6,85,9,8.0,101.23,Fog
2012-01-01 09:00:00,-1.3,29.66,-3.1,88,15,4.0,101.2,Fog
2012-01-01 10:00:00,-1.0,30.2,-2.3,91,9,1.2,101.15,Fog
2012-01-01 11:00:00,-0.5,31.1,-2.1,89,7,4.0,100.98,Fog
2012-01-01 12:00:00,-0.2,31.64,-2.0,88,9,4.8,100.79,Fog
2012-01-01 13:00:00,0.2,32.36,-1.7,87,13,4.8,100.58,Fog
2012-01-01 14:00:00,0.8,33.44,-1.1,87,20,4.8,100.31,Fog
2012-01-01 15:00:00,1.8,35.24,-0.4,85,22,6.4,100.07,Fog
2012-01-01 16:00:00,2.6,36.68,-0.2,82,13,12.9,99.93,Mostly Cloudy
2012-01-01 17:00:00,3.0,37.4,0.0,81,13,16.1,99.81,Cloudy
2012-01-01 18:00:00,3.8,38.84,1.0,82,15,12.9,99.74,Rain
2012-01-01 19:00:00,3.1,37.58,1.3,88,15,12.9,99.68,Rain
2012-01-01 20:00:00,3.2,37.76,1.3,87,19,25.0,99.5,Cloudy
2012-01-01 21:00:00,4.0,39.2,1.7,85,20,25.0,99.39,Cloudy
2012-01-01 22:00:00,4.4,39.92,1.9,84,24,19.3,99.32,Rain Showers
2012-01-01 23:00:00,5.3,41.54,2.0,79,30,25.0,99.31,Cloudy
2012-01-02 00:00:00,5.2,41.36,1.5,77,35,25.0,99.26,Rain Showers
2012-01-02 01:00:00,4.6,40.28,0.0,72,39,25.0,99.26,Cloudy
2012-01-02 02:00:00,3.9,39.019999999999996,-0.9,71,32,25.0,99.26,Mostly Cloudy
2012-01-02 03:00:00,3.7,38.66,-1.5,69,33,25.0,99.3,Mostly Cloudy
2012-01-02 04:00:00,2.9,37.22,-2.3,69,32,25.0,99.26,Mostly Cloudy
2012-01-02 05:00:00,2.6,36.68,-2.3,70,32,25.0,99.21,Mostly Cloudy
2012-01-02 06:00:00,2.3,36.14,-2.6,70,26,25.0,99.18,Mostly Cloudy
2012-01-02 07:00:00,2.0,35.6,-2.9,70,33,25.0,99.14,Mostly Cloudy
2012-01-02 08:00:00,1.9,35.42,-3.3,68,39,24.1,99.14,Mostly Cloudy
2012-01-02 09:00:00,1.8,35.24,-3.7,67,44,24.1,99.14,Mostly Cloudy
2012-01-02 10:00:00,1.5,34.7,-4.1,66,43,24.1,99.18,Mostly Cloudy
2012-01-02 11:00:00,2.2,35.96,-3.5,66,30,24.1,99.19,Mostly Cloudy
2012-01-02 12:00:00,1.7,35.06,-6.2,56,48,24.1,99.21,Mainly Clear
2012-01-02 13:00:00,1.1,33.98,-6.5,57,37,24.1,99.27,Mostly Cloudy
2012-01-02 14:00:00,1.1,33.98,-6.8,56,33,24.1,99.33,Mostly Cloudy
2012-01-02 15:00:00,0.0,32.0,-7.0,59,33,24.1,99.41,Mostly Cloudy
2012-01-02 16:00:00,-0.7,30.74,-8.7,55,24,24.1,99.5,Mostly Cloudy
2012-01-02 17:00:00,-2.1,28.22,-9.5,57,22,25.0,99.66,Snow Showers
2012-01-02 18:00:00,-4.1,24.62,-11.4,57,28,25.0,99.86,Mostly Cloudy
2012-01-02 19:00:00,-4.8,23.36,-12.1,57,24,25.0,100.0,Mostly Cloudy
2012-01-02 20:00:00,-5.6,21.92,-13.4,54,24,25.0,100.07,Snow Showers
2012-01-02 21:00:00,-5.8,21.560000000000002,-12.8,58,26,25.0,100.15,Snow Showers
2012-01-02 22:00:00,-7.0,19.4,-14.7,54,20,25.0,100.26,Cloudy
2012-01-02 23:00:00,-7.4,18.68,-14.1,59,17,19.3,100.27,Snow Showers
2012-01-03 00:00:00,-9.0,15.8,-16.0,57,28,25.0,100.35,Snow Showers
2012-01-03 01:00:00,-9.7,14.54,-17.2,54,20,25.0,100.43,Cloudy
